Номер операции      Угол элевации       Угол курса
790                   57.1959               45.722
791                   57.3175               46.5242
792                   57.5617               44.9199
793                   57.5617               44.9199
794                   57.6843               45.722
795                   57.8072               46.5242
796                   58.054               48.1285
797                   58.054               48.1285
798                   58.1779               47.3263
799                   58.3022               46.5242
800                   58.4268               45.722
801                   58.5517               46.5242
802                   58.677               45.722
803                   58.8026               46.5242
804                   58.9285               45.722
805                   59.0548               46.5242
806                   59.1813               47.3263
807                   59.3083               46.5242
808                   59.5631               44.9199
809                   59.5631               44.9199
810                   59.691               45.722
811                   59.8193               46.5242
812                   59.9479               47.3263
813                   60.0769               46.5242
814                   60.2061               47.3263
815                   60.3357               46.5242
816                   60.4657               45.722
817                   60.7266               47.3263
818                   60.7266               47.3263
819                   60.8575               46.5242
820                   60.9888               45.722
821                   61.2524               47.3263
822                   61.3847               46.5242
823                   61.5173               45.722
824                   61.5173               45.722
825                   61.6503               46.5242
826                   61.7836               45.722
827                   61.9172               46.5242
828                   62.0511               45.722
829                   62.32               47.3263
830                   62.32               47.3263
831                   62.5903               45.722
832                   62.5903               45.722
833                   62.8619               47.3263
834                   62.8619               47.3263
835                   62.9981               46.5242
836                   62.9981               46.5242
837                   63.2717               44.9199
838                   63.2717               44.9199
839                   63.4089               45.722
840                   63.4089               45.722
841                   63.5465               46.5242
842                   63.5465               46.5242
843                   63.6845               47.3263
844                   63.8227               46.5242
845                   63.9613               45.722
846                   64.2395               47.3263
847                   64.2395               47.3263
848                   64.3791               46.5242
849                   64.6592               44.9199
850                   64.6592               44.9199
851                   64.7997               45.722
852                   64.9406               46.5242
853                   65.0818               47.3263
854                   65.2233               46.5242
855                   65.3652               47.3263
856                   65.5074               46.5242
857                   65.6499               45.722
858                   65.7927               46.5242
859                   65.9358               45.722
860                   66.0793               46.5242
861                   66.2231               47.3263
862                   66.3672               46.5242
863                   66.5116               45.722
864                   66.6563               46.5242
865                   66.8014               45.722
866                   66.8014               45.722
867                   66.9467               46.5242
868                   67.2383               48.1285
869                   67.2383               48.1285
870                   67.3846               47.3263
871                   67.6782               45.722
872                   67.6782               45.722
873                   67.8254               46.5242
874                   67.8254               46.5242
875                   67.973               45.722
876                   67.973               45.722
877                   68.269               47.3263
878                   68.269               47.3263
879                   68.4175               46.5242
880                   68.5662               45.722
881                   68.7153               46.5242
882                   68.8647               45.722
883                   69.0144               46.5242
884                   69.0144               46.5242
885                   69.1644               45.722
886                   69.1644               45.722
887                   69.4652               47.3263
888                   69.4652               47.3263
889                   69.6161               46.5242
890                   69.9187               44.9199
891                   70.0705               45.722
892                   70.0705               45.722
893                   70.3749               47.3263
894                   70.3749               47.3263
895                   70.5275               46.5242
896                   70.6804               45.722
897                   70.8337               46.5242
898                   70.9872               45.722
899                   71.1409               46.5242
900                   71.4493               44.9199
901                   71.4493               44.9199
902                   71.7588               46.5242
903                   71.7588               46.5242
904                   71.914               47.3263
905                   72.0694               46.5242
906                   72.0694               46.5242
907                   72.2252               47.3263
908                   72.2252               47.3263
909                   72.5374               45.722
910                   72.5374               45.722
911                   72.694               46.5242
912                   72.8508               47.3263
913                   73.1652               45.722
914                   73.1652               45.722
915                   73.3228               46.5242
916                   73.4806               45.722
917                   73.6387               46.5242
918                   73.7971               47.3263
919                   74.1146               45.722
920                   74.2737               46.5242
921                   74.2737               46.5242
922                   74.4331               45.722
923                   74.5927               46.5242
924                   74.5927               46.5242
925                   74.7526               47.3263
926                   74.7526               47.3263
927                   74.9127               46.5242
928                   75.0731               45.722
929                   75.2337               46.5242
930                   75.3945               45.722
931                   75.5556               46.5242
932                   75.5556               46.5242
933                   75.7168               47.3263
934                   75.8784               46.5242
935                   76.2021               44.9199
936                   76.2021               44.9199
937                   76.3643               45.722
938                   76.5267               46.5242
939                   76.6894               47.3263
940                   76.8523               46.5242
941                   77.0154               47.3263
942                   77.1787               46.5242
943                   77.3422               45.722
944                   77.5059               46.5242
945                   77.6699               45.722
946                   77.834               46.5242
947                   77.834               46.5242
948                   77.9983               47.3263
949                   78.1629               46.5242
950                   78.3276               45.722
951                   78.4926               46.5242
952                   78.6577               45.722
953                   78.8231               46.5242
954                   78.8231               46.5242
955                   78.9886               47.3263
956                   78.9886               47.3263
957                   79.1543               46.5242
958                   79.3201               45.722
959                   79.4862               46.5242
960                   79.6525               45.722
961                   79.9855               47.3263
962                   79.9855               47.3263
963                   80.3192               45.722
964                   80.3192               45.722
965                   80.4863               46.5242
966                   80.6535               45.722
967                   80.821               46.5242
968                   80.9885               47.3263
969                   81.3242               45.722
970                   81.3242               45.722
971                   81.4922               46.5242
972                   81.6604               45.722
973                   81.8288               46.5242
974                   81.9972               47.3263
975                   82.1659               46.5242
976                   82.3346               45.722
977                   82.5035               46.5242
978                   82.6725               45.722
979                   82.8417               46.5242
980                   83.1803               44.9199
981                   83.1803               44.9199
982                   83.3498               45.722
983                   83.6892               47.3263
984                   83.6892               47.3263
985                   83.859               46.5242
986                   84.029               47.3263
987                   84.3692               45.722
988                   84.3692               45.722
989                   84.5395               46.5242
990                   84.7099               47.3263
991                   84.8803               46.5242
992                   85.0509               45.722
993                   85.2215               46.5242
994                   85.3923               47.3263
995                   85.5631               46.5242
996                   85.734               45.722
997                   85.9049               46.5242
998                   85.9049               46.5242
999                   86.076               45.722
1000                   86.2471               46.5242
1001                   86.4183               47.3263
1002                   86.5895               46.5242
1003                   86.7608               45.722
1004                   86.7608               45.722
1005                   86.9322               46.5242
1006                   87.1036               45.722
1007                   18.2385               46.5242
1008                   18.2511               47.3263
1009                   18.2637               48.1285
1010                   18.2766               48.9306
1011                   18.2896               49.7327
1012                   18.3027               50.5349
1013                   18.316               51.337
1014                   18.3295               52.1392
1015                   18.3432               52.9413
1016                   18.357               53.7434
1017                   18.3709               54.5456
1018                   18.385               55.3477
1019                   18.3992               56.1499
1020                   18.4136               56.952
1021                   18.4282               57.7541
1022                   18.4429               58.5563
1023                   18.4577               59.3584
1024                   18.4577               59.3584
1025                   18.4727               60.1606
1026                   18.4878               60.9627
1027                   18.503               61.7649
1028                   18.5184               62.567
1029                   18.5339               63.3691
1030                   18.5495               64.1713
1031                   18.5812               65.7756
1032                   18.5812               65.7756
1033                   18.5972               66.5777
1034                   18.6296               68.182
1035                   18.6296               68.182
1036                   18.6459               68.9841
1037                   18.6624               69.7863
1038                   18.6624               69.7863
1039                   18.679               70.5884
1040                   18.6957               71.3905
1041                   18.7125               72.1927
1042                   18.7125               72.1927
1043                   18.7294               72.9948
1044                   18.7464               73.797
1045                   18.7807               75.4012
1046                   18.7807               75.4012
1047                   18.798               76.2034
1048                   18.8154               77.0055
1049                   18.8328               77.8077
1050                   18.868               79.412
1051                   18.868               79.412
1052                   18.9035               81.0162
1053                   18.9214               81.8184
1054                   18.9393               82.6205
1055                   18.9393               82.6205
1056                   18.9753               84.2248
1057                   18.9753               84.2248
1058                   19.0116               85.8291
1059                   19.0116               85.8291
1060                   19.0298               86.6312
1061                   19.0481               87.4334
1062                   19.0664               88.2355
1063                   19.0847               89.0376
1064                   19.1031               89.8398
1065                   19.14               91.4441
1066                   19.14               91.4441
1067                   19.1585               90.6419
1068                   19.177               89.8398
1069                   19.177               89.8398
1070                   19.2142               91.4441
1071                   19.2142               91.4441
1072                   19.2328               90.6419
1073                   19.2328               90.6419
1074                   19.2702               89.0376
1075                   19.2702               89.0376
1076                   19.2889               89.8398
1077                   19.3077               90.6419
1078                   19.3077               90.6419
1079                   19.3265               91.4441
1080                   19.3454               90.6419
1081                   19.3642               91.4441
1082                   19.3832               90.6419
1083                   19.4021               89.8398
1084                   19.4211               90.6419
1085                   19.4401               89.8398
1086                   19.4592               90.6419
1087                   19.4783               91.4441
1088                   19.4783               91.4441
1089                   19.4974               90.6419
1090                   19.5166               89.8398
1091                   19.5358               90.6419
